KP1	Pseudoroegneria spicata PI 578855, диплоид
KP2	Ps. spicata PI 236671 2, диплоид
KP3	Ps. libanotica PI 330690, диплоид
KP4	Ps. libanotica PI 222959, диплоид
KP5	Ps. libanotica PI 228389, диплоид
KP6	Ps. kosaninii PI 237636, октаплоид 
KP7	Ps. cognata PI 670361, диплоид 
KP8	Ps. geniculata PI 670437, тетраплоид 
KP9	Ps. geniculata PI 565009, тетраплоид 
KP10	Ps. tauri PI 380652, диплоид 
KP11	Th. junceum PI 119604, гексаплоид 
KP12	Th. junceum PI 276566, гексаплоид 
KP13	Th. intermedium PI 401200, гексаплоид 
KP14	Th. intermedium PI 1154 103, гексаплоид 
KP15	Th. intermedium PI 249146, гексаплоид 
KP16	Памяти Любимовой  , октаплоид 
KP17	ППГ 77 77.1.1.1 35гр, октаплоид 
KP18	ППГ 1514 1514.2.3 25гр, октаплоид 
KP19	ППГ 1664 1664.2.4 20гр, октаплоид 
KP20	ППГ 1665 1665.1.3 8гр, октаплоид 
KP21	ППГ 1626 1626.2 №6-2 40гр, октаплоид 
KP22	ППГ 548 548.1 №2-2 37гр, октаплоид 
KP23	ЗП26 ЗП26/1.1 №8-2 30гр, октаплоид 
KP24	ППГ 4044 4044/4.1 №8-5 50гр, октаплоид 
KP25	ППГ 166 166.2 №6-3 45гр, октаплоид 
KP26	ППГ 1872 1872.1 №10-1 15гр, октаплоид 
KP27	ППГ 70с 70с.1.3 30гр, октаплоид 
KP28	ППГ 1432 1432.1 №8-2 35гр, октаплоид 
KP29	ППГ 12 12.1.4 50гр, октаплоид 
KP30	ППГ 168 168.2 №2-1 25гр, октаплоид 
KP31	ППГ 1416 1416.1 №5 35 гр, октаплоид 
KP32	ППГ 150 150.2 красн. №9.2 35гр, октаплоид 
KP33	ППГ 1512 1512.1 №5-1 25гр, октаплоид 
KP34	ППГ 1735 1735.1 №3-1 25гр, октаплоид 
KP35	ППГ 1765 1765.2 бел.красн №1-3 50гр, октаплоид 
KP36	ППГ 1779 1779.1 №6-1 20гр, октаплоид 
KP37	ППГ 1797 1797.2.3 45гр, октаплоид 
KP38	ППГ 1783 1783.1 №7-3 50гр, октаплоид 
KP39	ППГ 1865 1865.2 бел. №3-3 40гр, октаплоид 
