Повтор	Ae сrassa 4x	Ae.сrassa 6x	Ae.tauschii subsp. strangulata	T.aestivum	Th.bessarabicum
CL3	5.32	5.83	5.85	5.03	4.72
CL8	4.18	4.1	3.6	3.93	3.12
CL18	4.76	5.06	5	4.36	2.71
CL60	3.6	3.74	3.6	3.37	3.42
CL131	0.84	0.73	-0.23	0.34	-0.07
CL170	4.25	4.71	4.39	3.72	3.63
CL193	3.41	3.6	3.46	3.15	3.25
CL209	4.63	4.08	-0.28	2.17	-0.07
CL219	3.74	3.4	0.69	2.76	0.59
CL228	3.17	3.12	2.95	1.72	-0.23
CL232	3.82	3.8	3.55	2.68	-0.13
CL239	3.99	4.02	0.97	0.42	3.45
CL244	3.14	3.45	-1.4	2	5.32
CL257	2.48	2.56	-2.52	-1	-1.7
CL258	3.26	3.07	0	-0.08	0.06
CL261	3.11	3.16	2.99	2.24	3.02
CL27_232	3.06	3.33	2.87	2.94	2.34
CL2	0.32	-0.86	-1.69	-0.42	-0.02
CL148	3.89	3.83	3.7	3.9	3.65
